Wieland	Heinrich Otto	1927
Windaus	Adolf Otto Reinhold	1928
Harden	Arthur	1929
von Euler-Chelpin	Hans Karl August Simon	1929
Fischer	Hans	1930
Bosch	Carl	1931
Bergius	Friedrich	1931
Langmuir	Irving	1932
Urey	Harold Clayton	1934
Joliot	Frédéric	1935
Joliot-Curie	Irène	1935
Debye	Petrus (Peter) Josephus Wilhelmus	1936
Haworth	Walter Norman	1937
Karrer	Paul	1937
Kuhn	Richard	1938
Butenandt	Adolf Friedrich Johann	1939
Ruzicka	Leopold	1939
de Hevesy	George	1943
Hahn	Otto	1944
Virtanen	Artturi Ilmari	1945
Sumner	James Batcheller	1946
Northrop	John Howard	1946
Stanley	Wendell Meredith	1946
Robinson	Sir Robert	1947
Tiselius	Arne Wilhelm Kaurin	1948
Giauque	William Francis	1949
Diels	Otto Paul Hermann	1950
Alder	Kurt	1950
McMillan	Edwin Mattison	1951
Seaborg	Glenn Theodore	1951
Martin	Archer John Porter	1952
Synge	Richard Laurence Millington	1952
Staudinger	Hermann	1953
Pauling	Linus Carl	1954 1962
du Vigneaud	Vincent	1955
Hinshelwood	Sir Cyril Norman	1956
Semenov	Nikolay Nikolaevich	1956
Todd	Lord (Alexander R.)	1957
Sanger	Frederick	1958 1980
Heyrovsky	Jaroslav	1959
Libby	Willard Frank	1960
Calvin	Melvin	1961
Perutz	Max Ferdinand	1962
Kendrew	John Cowdery	1962
Ziegler	Karl	1963
Natta	Giulio	1963
Hodgkin	Dorothy Crowfoot	1964
Woodward	Robert Burns	1965
Mulliken	Robert S.	1966
Eigen	Manfred	1967
Norrish	Ronald George Wreyford	1967
Porter	George	1967
Onsager	Lars	1968
Barton	Derek H. R.	1969
Hassel	Odd	1969
Leloir	Luis F.	1970
Herzberg	Gerhard	1971
Anfinsen	Christian B.	1972
Moore	Stanford	1972
Stein	William H.	1972
Fischer	Ernst Otto	1973
Wilkinson	Geoffrey	1973
Flory	Paul J.	1974
Cornforth	John Warcup	1975
Prelog	Vladimir	1975
Lipscomb	William N.	1976
Prigogine	Ilya	1977
Mitchell	Peter D.	1978
Brown	Herbert C.	1979
Wittig	Georg	1979
Berg	Paul	1980
Gilbert	Walter	1980
